episode,reward,episode_length,success,collision,final_distance,mean_distance,smoothness
1,1434.0602343194187,1000,0,0,0.013460617314751485,0.014851141034274295,0.12124194223111037
2,1468.4621277861297,1000,0,0,0.012261528312348075,0.016050289117177187,0.09568093951262802
3,1553.9539127256721,1000,0,0,0.012422364640075956,0.016233228051438432,0.09993138203522405
4,1463.2566405385733,1000,0,0,0.01239890297291723,0.01395695695086111,0.07109605147196203
5,1431.8926981203258,1000,0,0,0.01366598873308115,0.017387699989985433,0.10424938596271618
